Идентификатор,Наименование,Группа способов,Уровень возможностей нарушителя,Возможные реализуемые угрозы,Возможные меры защиты,Условия реализации,Выполняемые действия,Последствия реализации,Идентификаторы других систем,Ссылки на источник
СП.16.5,Выход за пределы замкнутой программной среды,СП.16 Нарушение изоляции,"В.3 Нарушитель, обладающий средними возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации","УПД.1.9 Предоставление пользователям прав доступа к объектам доступа, основываясь на задачах, решаемых пользователями;
АВЗ.1.5 Проверка в масштабе времени, близком к реальному, объектов (файлов) из внешних источников (съемных машинных носителей информации, сетевых подключений, в том числе к сетям общего пользования, и других внешних источников) при загрузке, открытии или исполнении таких файлов;
АВЗ.1.1 Применение средств антивирусной защиты на автоматизированных рабочих местах, серверах, периметральных средствах защиты информации (средствах межсетевого экранирования, прокси-серверах, почтовых шлюзах и других средствах защиты информации), мобильных технических средствах и иных точках доступа в информационной системе, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы) ;
АВЗ.2.1 Применение средств антивирусной защиты на прокси-серверах, почтовых шлюза, почтовых серверах и иных точках доступа в информационную систему, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы);
ОПС.1.3 Ограничение запуска компонентов программного обеспечения от имени администраторов безопасности;
АВЗ.3.1 Проверку в масштабе времени, близком к реальному, объектов (файлов) архивных, исполняемых и зашифрованных при загрузке, открытии или исполнении таких файлов.;
ОПС.1.1 Определение перечня (списка) компонентов программного обеспечения (файлов, объектов баз данных, хранимых процедур и иных компонентов), запускаемых автоматически при загрузке операционной системы средства вычислительной техники;
ОПС.1.2 Разрешение запуска компонентов программного обеспечения, включенных в перечень (список) программного обеспечения, запускаемого автоматически при загрузке операционной системы средства вычислительной техники;
АВЗ.1.4 Проведение периодических проверок компонентов информационной системы (автоматизированных рабочих мест, серверов, других средств вычислительной техники) на наличие вредоносных компьютерных программ (вирусов);
АВЗ.1.6 Оповещение администраторов безопасности в масштабе времени, близком к реальному, об обнаружении вредоносных компьютерных программ (вирусов);
АВЗ.1.7 Определение и выполнение действий по реагированию на обнаружение в информационной системе объектов, подвергшихся заражению вредоносными компьютерными программами (вирусами) ;
ЗИС.39.1 Регламентирование порядка перемещения (определение ответственных за организацию процесса, объектов перемещения, ресурсов инфраструктуры, задействованных в перемещении, а также способов перемещения) ;
ЗИС.39.2 Управление размещением и перемещением файлов-образов виртуальных машин (контейнеров) между носителями (системами хранения данных) ;
ЗИС.39.3 Управление размещением и перемещением исполняемых виртуальных машин (контейнеров) между серверами виртуализации ;
ЗИС.39.4 Управление размещением и перемещением данных, обрабатываемых с использованием виртуальных машин, между носителями (системами хранения данных) ",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.1,Перебор паролей к учетной записи ,СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.6.1 Регламентация и контроль количества неуспешных попыток входа ",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.2,Перебор пользователей к паролю (Password Spraying),СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.6.1 Регламентация и контроль количества неуспешных попыток входа ",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.3,Перебор утекших пар пользователь/пароль (Credential Stuffing),СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.6.1 Регламентация и контроль количества неуспешных попыток входа ",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.4,"Перебор ключей доступа (API ключи, сессионные ключи и т.д.)",СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.6.1 Регламентация и контроль количества неуспешных попыток входа ",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.5,Перебор одноразовых кодов или ключей,СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.6.1 Регламентация и контроль количества неуспешных попыток входа ",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.6,Восстановление аутентификационной информации из аппаратных хранилищ,СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"ЗТС.3.1 Контроль и управление физическим доступом к техническим средствам, средствам защиты информации, средствам обеспечения функционирования, а также в помещения и сооружения, в которых они установлены, исключающие несанкционированный физический доступ к средствам обработки информации, средствам защиты информации и средствам обеспечения функционирования информационной системы и помещения и сооружения, в которых они установлены;
ЗИС.17.2 Обеспечить мониторинг и контроль использования сети Интернет для всех средств вычислительной техники, расположенных в группах сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления доступа к сети Интернет;
ЗИС.17.3 Определение перечня ресурсов сети Интернет, на которых высока вероятность публикации информации конфиденциального характера ;
ЗИС.17.4 Мониторинг содержания указанных выше ресурсов сети Интернет с целью возможной публикации информации конфиденциального характера;
ЗИС.17.1 Мониторинг и контроль использования сервисов электронной почты (в том числе с использованием web-интерфейса) при передаче информации на внешние адреса электронной почты для всего трафика электронной почты и для всех учетных записей сервисов электронной почты ;
ЗНИ.2.1 Определение должностных лиц, имеющих физический доступ к машинным носителям информации;
ЗНИ.2.2 Предоставление физического доступа к машинным носителям информации только тем лицам, которым он необходим для выполнения своих должностных обязанностей (функций);
ЗНИ.4.2 Физический контроль и хранение машинных носителей информации в помещениях, специально предназначенных для хранения машинных носителей информации (хранилище машинных носителей информации;
ЗТС.2.1 Обеспечение контролируемой зоны, в пределах которой постоянно размещаются стационарные технические средства, обрабатывающие информацию, и средства защиты информации, а также средства обеспечения функционирования;
ЗИС.17.6 Мониторинг и контроль печати и (или) копирования информации на бумажных носителях для сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления печати информации;
ЗИС.17.12 Контроль физического доступа с целью предотвращения визуального и слухового ознакомления с информацией во все помещения, в которых осуществляется обработка и (или) хранение информации конфиденциального характера;
ЗИС.17.5 Мониторинг, контроль, блокирование копирования информации на переносные носители информации для всех средств вычислительной техники, мобильных устройств;
ЗНИ.3.1 Определение должностных лиц, имеющих права на перемещение машинных носителей информации за пределы контролируемой зоны;
ЗНИ.3.2 Предоставление права на перемещение машинных носителей информации за пределы контролируемой зоны только тем лицам, которым оно необходимо для выполнения своих должностных обязанностей (функции);
ЗНИ.3.3 Учет перемещаемых машинных носителей информации;
ЗНИ.3.4 Периодическая проверка наличия машинных носителей информаци;
ЗНИ.4.1 Определение типов машинных носителей информации, подлежащих хранению в помещениях, специально предназначенных для хранения машинных носителей информации (хранилище машинных носителей информации);
ЗНИ.4.3 Защита машинных носителей информации до уничтожения (стирания) с них данных и остаточной информации (информации, которую можно восстановить после удаления с помощью нештатных средств и методов) с использованием средств стирания данных и остаточной информации;
ЗИС.17.7 Контроль (блокирование) возможности использования и (или) доступа к информации конфиденциального характера на переносных носителях информации за пределами информационной инфраструктуры организации для всех переносных носителей информации вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера;
ЗИС.17.8 Блокирование возможности доступа к информации конфиденциального характера для всех средств вычислительной техники, используемых за пределами информационной инфраструктуры организации, вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера и всех информационных активов организации, к которым осуществляется удаленный доступ;
ЗИС.17.9 Определение перечня действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, подвергаемых мониторингу и анализу для цели выявления потенциальных утечек информации. При этом рекомендуется подвергать мониторингу и анализу;
ЗИС.17.10 Мониторинг и анализ всех действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, согласно определенному перечню для всех учтенных информационных активов;
ЗИС.17.11 Контроль передачи (выноса) всех средств вычислительной техники независимо от осуществления обработки и (или) хранения информации конфиденциального характера",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.7,Восстановление аутентификационной информации из программных хранилищ,СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"ОПС.2.5 Определение и применение параметров настройки компонентов программного обеспечения, включая программные компоненты средств защиты информации, обеспечивающих реализацию мер защиты информации, а также устранение возможных уязвимостей информационной системы, приводящих к возникновению угроз безопасности информации;
ЗИС.17.2 Обеспечить мониторинг и контроль использования сети Интернет для всех средств вычислительной техники, расположенных в группах сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления доступа к сети Интернет;
ЗИС.17.3 Определение перечня ресурсов сети Интернет, на которых высока вероятность публикации информации конфиденциального характера ;
ЗИС.17.4 Мониторинг содержания указанных выше ресурсов сети Интернет с целью возможной публикации информации конфиденциального характера;
ЗИС.17.1 Мониторинг и контроль использования сервисов электронной почты (в том числе с использованием web-интерфейса) при передаче информации на внешние адреса электронной почты для всего трафика электронной почты и для всех учетных записей сервисов электронной почты ;
ОПС.1.3 Ограничение запуска компонентов программного обеспечения от имени администраторов безопасности;
ОПС.2.1 Определение компонентов программного обеспечения (состава и конфигурации), подлежащих установке после загрузки операционной системы;
ОПС.2.2 Настройка параметров установки компонентов программного обеспечения, обеспечивающая исключение установки (если осуществимо) компонентов программного обеспечения, использование которых не требуется для реализации информационной технологии;
ОПС.2.3 Конфигурация устанавливаемых компонентов программного обеспечения (в том числе конфигурации, предусматривающие включение в домен, или не включение в домен);
ОПС.2.4 Контроль за установкой компонентов программного обеспечения (состав компонентов, параметры установки, конфигурация компонентов);
ОПС.1.1 Определение перечня (списка) компонентов программного обеспечения (файлов, объектов баз данных, хранимых процедур и иных компонентов), запускаемых автоматически при загрузке операционной системы средства вычислительной техники;
ОПС.1.2 Разрешение запуска компонентов программного обеспечения, включенных в перечень (список) программного обеспечения, запускаемого автоматически при загрузке операционной системы средства вычислительной техники;
ЗИС.17.6 Мониторинг и контроль печати и (или) копирования информации на бумажных носителях для сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления печати информации;
ЗИС.17.12 Контроль физического доступа с целью предотвращения визуального и слухового ознакомления с информацией во все помещения, в которых осуществляется обработка и (или) хранение информации конфиденциального характера;
ЗИС.17.5 Мониторинг, контроль, блокирование копирования информации на переносные носители информации для всех средств вычислительной техники, мобильных устройств;
ЗИС.17.7 Контроль (блокирование) возможности использования и (или) доступа к информации конфиденциального характера на переносных носителях информации за пределами информационной инфраструктуры организации для всех переносных носителей информации вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера;
ЗИС.17.8 Блокирование возможности доступа к информации конфиденциального характера для всех средств вычислительной техники, используемых за пределами информационной инфраструктуры организации, вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера и всех информационных активов организации, к которым осуществляется удаленный доступ;
ЗИС.17.9 Определение перечня действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, подвергаемых мониторингу и анализу для цели выявления потенциальных утечек информации. При этом рекомендуется подвергать мониторингу и анализу;
ЗИС.17.10 Мониторинг и анализ всех действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, согласно определенному перечню для всех учтенных информационных активов;
ЗИС.17.11 Контроль передачи (выноса) всех средств вычислительной техники независимо от осуществления обработки и (или) хранения информации конфиденциального характера",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.8,Восстановление аутентификационной информации из сетевого трафика,СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"ЗИС.19.1 Защита информации от раскрытия, модификации и навязывания (ввода ложной информации) при ее передаче (подготовке к передаче) по каналам связи, имеющим выход за пределы контролируемой зоны ;
ЗИС.17.2 Обеспечить мониторинг и контроль использования сети Интернет для всех средств вычислительной техники, расположенных в группах сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления доступа к сети Интернет;
ЗИС.17.3 Определение перечня ресурсов сети Интернет, на которых высока вероятность публикации информации конфиденциального характера ;
ЗИС.17.4 Мониторинг содержания указанных выше ресурсов сети Интернет с целью возможной публикации информации конфиденциального характера;
ЗИС.17.1 Мониторинг и контроль использования сервисов электронной почты (в том числе с использованием web-интерфейса) при передаче информации на внешние адреса электронной почты для всего трафика электронной почты и для всех учетных записей сервисов электронной почты ;
ЗИС.17.6 Мониторинг и контроль печати и (или) копирования информации на бумажных носителях для сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления печати информации;
ЗИС.17.12 Контроль физического доступа с целью предотвращения визуального и слухового ознакомления с информацией во все помещения, в которых осуществляется обработка и (или) хранение информации конфиденциального характера;
ЗИС.17.5 Мониторинг, контроль, блокирование копирования информации на переносные носители информации для всех средств вычислительной техники, мобильных устройств;
ЗИС.17.7 Контроль (блокирование) возможности использования и (или) доступа к информации конфиденциального характера на переносных носителях информации за пределами информационной инфраструктуры организации для всех переносных носителей информации вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера;
ЗИС.17.8 Блокирование возможности доступа к информации конфиденциального характера для всех средств вычислительной техники, используемых за пределами информационной инфраструктуры организации, вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера и всех информационных активов организации, к которым осуществляется удаленный доступ;
ЗИС.17.9 Определение перечня действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, подвергаемых мониторингу и анализу для цели выявления потенциальных утечек информации. При этом рекомендуется подвергать мониторингу и анализу;
ЗИС.17.10 Мониторинг и анализ всех действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, согласно определенному перечню для всех учтенных информационных активов;
ЗИС.17.11 Контроль передачи (выноса) всех средств вычислительной техники независимо от осуществления обработки и (или) хранения информации конфиденциального характера;
ИАФ.7.1 Организация защиты аутентификационной информации криптографическими методами шифрования трафика. Осуществление контроля целостности передаваемой аутентификационной информации. Организация защищенной передачи данных с использованием идентификаторов. Реализация методов динамической аутентификации.",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.9,Восстановление аутентификационной информации из исходного кода/конфигурационных файлов,СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"ЗИС.17.2 Обеспечить мониторинг и контроль использования сети Интернет для всех средств вычислительной техники, расположенных в группах сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления доступа к сети Интернет;
ЗИС.17.3 Определение перечня ресурсов сети Интернет, на которых высока вероятность публикации информации конфиденциального характера ;
ЗИС.17.4 Мониторинг содержания указанных выше ресурсов сети Интернет с целью возможной публикации информации конфиденциального характера;
ЗИС.17.1 Мониторинг и контроль использования сервисов электронной почты (в том числе с использованием web-интерфейса) при передаче информации на внешние адреса электронной почты для всего трафика электронной почты и для всех учетных записей сервисов электронной почты ;
ЗИС.17.6 Мониторинг и контроль печати и (или) копирования информации на бумажных носителях для сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления печати информации;
ЗИС.17.12 Контроль физического доступа с целью предотвращения визуального и слухового ознакомления с информацией во все помещения, в которых осуществляется обработка и (или) хранение информации конфиденциального характера;
ЗИС.17.5 Мониторинг, контроль, блокирование копирования информации на переносные носители информации для всех средств вычислительной техники, мобильных устройств;
ЗИС.17.7 Контроль (блокирование) возможности использования и (или) доступа к информации конфиденциального характера на переносных носителях информации за пределами информационной инфраструктуры организации для всех переносных носителей информации вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера;
ЗИС.17.8 Блокирование возможности доступа к информации конфиденциального характера для всех средств вычислительной техники, используемых за пределами информационной инфраструктуры организации, вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера и всех информационных активов организации, к которым осуществляется удаленный доступ;
ЗИС.17.9 Определение перечня действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, подвергаемых мониторингу и анализу для цели выявления потенциальных утечек информации. При этом рекомендуется подвергать мониторингу и анализу;
ЗИС.17.10 Мониторинг и анализ всех действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, согласно определенному перечню для всех учтенных информационных активов;
ЗИС.17.11 Контроль передачи (выноса) всех средств вычислительной техники независимо от осуществления обработки и (или) хранения информации конфиденциального характера",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.17.10,Восстановление аутентификационной информации из журналов приложений,СП.17 Подбор (восстановление) аутентификационной информации ,"В.2 Нарушитель, обладающий базовыми повышенными возможностями",УБИ.2 Угроза несанкционированного доступа,"ЗИС.17.2 Обеспечить мониторинг и контроль использования сети Интернет для всех средств вычислительной техники, расположенных в группах сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления доступа к сети Интернет;
ЗИС.17.3 Определение перечня ресурсов сети Интернет, на которых высока вероятность публикации информации конфиденциального характера ;
ЗИС.17.4 Мониторинг содержания указанных выше ресурсов сети Интернет с целью возможной публикации информации конфиденциального характера;
ЗИС.17.1 Мониторинг и контроль использования сервисов электронной почты (в том числе с использованием web-интерфейса) при передаче информации на внешние адреса электронной почты для всего трафика электронной почты и для всех учетных записей сервисов электронной почты ;
ЗИС.17.6 Мониторинг и контроль печати и (или) копирования информации на бумажных носителях для сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления печати информации;
ЗИС.17.12 Контроль физического доступа с целью предотвращения визуального и слухового ознакомления с информацией во все помещения, в которых осуществляется обработка и (или) хранение информации конфиденциального характера;
ЗИС.17.5 Мониторинг, контроль, блокирование копирования информации на переносные носители информации для всех средств вычислительной техники, мобильных устройств;
ЗИС.17.7 Контроль (блокирование) возможности использования и (или) доступа к информации конфиденциального характера на переносных носителях информации за пределами информационной инфраструктуры организации для всех переносных носителей информации вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера;
ЗИС.17.8 Блокирование возможности доступа к информации конфиденциального характера для всех средств вычислительной техники, используемых за пределами информационной инфраструктуры организации, вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера и всех информационных активов организации, к которым осуществляется удаленный доступ;
ЗИС.17.9 Определение перечня действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, подвергаемых мониторингу и анализу для цели выявления потенциальных утечек информации. При этом рекомендуется подвергать мониторингу и анализу;
ЗИС.17.10 Мониторинг и анализ всех действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, согласно определенному перечню для всех учтенных информационных активов;
ЗИС.17.11 Контроль передачи (выноса) всех средств вычислительной техники независимо от осуществления обработки и (или) хранения информации конфиденциального характера",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
